Frame,X,Y,Width,Height,Area,Angle,Width-S,Height-S,Height-D,center-ix,center-iy,center-ox,center-oy,M-dist,E-dist,X-cm,Y-cm
172,1136,1117,113,113,12769,-7.32363963,3840,2160,42,1920,1080,1192.5,1173.5,821,733.4838103,169,179
173,1133,1118,114,112,12768,-7.337436533,3840,2160,42,1920,1080,1190,1174,824,736.0271734,169,179
174,1131,1119,113,112,12656,-7.38960455,3840,2160,42,1920,1080,1187.5,1175,827.5,738.6347203,169,179
175,1129,1119,113,113,12769,-7.408062777,3840,2160,42,1920,1080,1185.5,1175.5,830,740.6824556,169,179
176,1127,1120,114,114,12996,-7.507939834,3840,2160,42,1920,1080,1184,1177,833,742.3644657,169,179
177,1126,1120,113,115,12995,-7.531023831,3840,2160,42,1920,1080,1182.5,1177.5,835,743.9169981,169,179
178,1125,1121,113,114,12882,-7.559066981,3840,2160,42,1920,1080,1181.5,1178,836.5,744.9739928,169,179
179,1124,1122,113,113,12769,-7.58703066,3840,2160,42,1920,1080,1180.5,1178.5,838,746.0311656,169,179
180,1123,1122,113,114,12882,-7.614915193,3840,2160,42,1920,1080,1179.5,1179,839.5,747.0885155,169,179
181,1122,1123,113,113,12769,-7.642720901,3840,2160,42,1920,1080,1178.5,1179.5,841,748.1460419,169,179
182,1121,1123,114,113,12882,-7.637631632,3840,2160,42,1920,1080,1178,1179.5,841.5,748.6416032,169,179
183,1120,1123,114,113,12882,-7.627473281,3840,2160,42,1920,1080,1177,1179.5,842.5,749.6327434,169,179
184,1120,1124,113,113,12769,-7.698097123,3840,2160,42,1920,1080,1176.5,1180.5,844,750.261621,169,179
185,1120,1124,113,113,12769,-7.698097123,3840,2160,42,1920,1080,1176.5,1180.5,844,750.261621,169,179
186,1120,1124,113,113,12769,-7.698097123,3840,2160,42,1920,1080,1176.5,1180.5,844,750.261621,169,179
187,1120,1124,113,113,12769,-7.698097123,3840,2160,42,1920,1080,1176.5,1180.5,844,750.261621,169,179
188,1120,1125,113,113,12769,-7.77376305,3840,2160,42,1920,1080,1176.5,1181.5,845,750.3962287,169,179
189,1119,1125,113,113,12769,-7.763448879,3840,2160,42,1920,1080,1175.5,1181.5,846,751.3870507,169,179
190,1119,1125,113,113,12769,-7.763448879,3840,2160,42,1920,1080,1175.5,1181.5,846,751.3870507,169,179
191,1118,1125,113,113,12769,-7.753161875,3840,2160,42,1920,1080,1174.5,1181.5,847,752.3778971,169,179
192,1118,1125,112,112,12544,-7.710321137,3840,2160,42,1920,1080,1174,1181,847,752.8060839,169,179
193,1116,1125,113,112,12656,-7.695034487,3840,2160,42,1920,1080,1172.5,1181,848.5,754.2925493,169,179
194,1115,1125,112,112,12544,-7.679807969,3840,2160,42,1920,1080,1171,1181,850,755.7790682,169,179
195,1112,1125,113,112,12656,-7.654563113,3840,2160,42,1920,1080,1168.5,1181,852.5,758.2567177,169,179
196,1110,1125,113,112,12656,-7.634485705,3840,2160,42,1920,1080,1166.5,1181,854.5,760.2389427,169,179
197,1107,1125,113,112,12656,-7.604565145,3840,2160,42,1920,1080,1163.5,1181,857.5,763.212454,169,179
198,1104,1124,113,113,12769,-7.53780969,3840,2160,42,1920,1080,1160.5,1180.5,860,766.1204213,169,179
199,1101,1125,113,112,12656,-7.545418088,3840,2160,42,1920,1080,1157.5,1181,863.5,769.1600939,169,179
200,1098,1124,112,113,12656,-7.474572841,3840,2160,42,1920,1080,1154,1180.5,866.5,772.5647222,169,179
201,1094,1124,112,113,12656,-7.436179571,3840,2160,42,1920,1080,1150,1180.5,870.5,776.5309073,169,179
202,1090,1124,113,113,12769,-7.402905762,3840,2160,42,1920,1080,1146.5,1180.5,874,780.0016026,169,179
203,1086,1124,113,113,12769,-7.365239315,3840,2160,42,1920,1080,1142.5,1180.5,878,783.9684305,169,179
204,1082,1124,112,113,12656,-7.323317634,3840,2160,42,1920,1080,1138,1180.5,882.5,788.4315126,169,179
205,1077,1124,112,112,12544,-7.241471025,3840,2160,42,1920,1080,1133,1180,887,793.3278011,169,179
206,1072,1124,112,113,12656,-7.231836602,3840,2160,42,1920,1080,1128,1180.5,892.5,798.3509567,169,179
207,1067,1124,112,113,12656,-7.186943362,3840,2160,42,1920,1080,1123,1180.5,897.5,803.3114278,169,179
208,1061,1125,113,112,12656,-7.173341255,3840,2160,42,1920,1080,1117.5,1181,903.5,808.8307919,169,179
209,1056,1125,112,112,12544,-7.125016349,3840,2160,42,1920,1080,1112,1181,909,814.2880326,169,179
210,1050,1125,112,112,12544,-7.073031685,3840,2160,42,1920,1080,1106,1181,915,820.2420374,169,179
211,1044,1125,112,112,12544,-7.02179632,3840,2160,42,1920,1080,1100,1181,921,826.1967078,169,179
212,1038,1125,112,112,12544,-6.971294251,3840,2160,42,1920,1080,1094,1181,927,832.1520294,169,179
213,1031,1125,112,112,12544,-6.913281247,3840,2160,42,1920,1080,1087,1181,934,839.1007091,169,179
214,1024,1125,112,112,12544,-6.856221232,3840,2160,42,1920,1080,1080,1181,941,846.0502349,169,179
215,1018,1125,112,112,12544,-6.808053558,3840,2160,42,1920,1080,1074,1181,947,852.0076291,169,179
216,1010,1125,112,113,12656,-6.777948734,3840,2160,42,1920,1080,1066,1181.5,955.5,860.0106104,169,179
217,1003,1125,112,112,12544,-6.690531,3840,2160,42,1920,1080,1059,1181,962,866.9036855,169,179
218,996,1125,111,112,12432,-6.633271485,3840,2160,42,1920,1080,1051.5,1181,969.5,874.3530465,169,179
219,988,1125,111,112,12432,-6.573260469,3840,2160,42,1920,1080,1043.5,1181,977.5,882.2999773,169,179
220,980,1125,111,112,12432,-6.514320912,3840,2160,42,1920,1080,1035.5,1181,985.5,890.2478587,169,179
221,972,1125,111,112,12432,-6.456424495,3840,2160,42,1920,1080,1027.5,1181,993.5,898.1966655,169,179
222,963,1126,111,112,12432,-6.455264364,3840,2160,42,1920,1080,1018.5,1182,1003.5,907.2520322,169,179
223,954,1126,111,112,12432,-6.391986868,3840,2160,42,1920,1080,1009.5,1182,1012.5,916.1955304,169,179
224,945,1126,111,112,12432,-6.329932878,3840,2160,42,1920,1080,1000.5,1182,1021.5,925.1401245,169,179
225,936,1126,111,112,12432,-6.269067389,3840,2160,42,1920,1080,991.5,1182,1030.5,934.085783,169,179
226,927,1126,111,112,12432,-6.209356714,3840,2160,42,1920,1080,982.5,1182,1039.5,943.0324756,169,179
227,918,1126,110,112,12320,-6.147545793,3840,2160,42,1920,1080,973,1182,1049,952.4772963,169,179
228,908,1126,110,112,12320,-6.083792379,3840,2160,42,1920,1080,963,1182,1059,962.4203863,169,179
229,898,1127,111,111,12321,-6.053747786,3840,2160,42,1920,1080,953.5,1182.5,1069,971.920007,169,179
230,887,1127,111,111,12321,-5.986121211,3840,2160,42,1920,1080,942.5,1182.5,1080,982.859349,169,179
231,877,1127,111,111,12321,-5.92593582,3840,2160,42,1920,1080,932.5,1182.5,1090,992.8053686,169,179
232,867,1128,111,110,12210,-5.895362574,3840,2160,42,1920,1080,922.5,1183,1100.5,1002.803695,169,179
233,856,1128,111,110,12210,-5.831505724,3840,2160,42,1920,1080,911.5,1183,1111.5,1013.746147,169,179
234,845,1128,111,110,12210,-5.76901278,3840,2160,42,1920,1080,900.5,1183,1122.5,1024.689831,169,179
235,834,1128,110,111,12210,-5.732601406,3840,2160,42,1920,1080,889,1183.5,1134.5,1036.182054,169,179
236,823,1128,110,111,12210,-5.672481255,3840,2160,42,1920,1080,878,1183.5,1145.5,1047.127619,169,179
237,811,1129,110,110,12100,-5.635232329,3840,2160,42,1920,1080,866,1184,1158,1059.118501,169,179
238,799,1129,110,110,12100,-5.572197804,3840,2160,42,1920,1080,854,1184,1170,1071.061156,169,179
239,787,1129,110,111,12210,-5.536882362,3840,2160,42,1920,1080,842,1184.5,1182.5,1083.053207,169,179
240,775,1129,110,111,12210,-5.476298467,3840,2160,42,1920,1080,830,1184.5,1194.5,1094.997831,169,179
